연번,연도,작전명,죄명(한글),"참여기관(기본 한글, 저명한 기관만 영문)",참여국가(한글),내용,출처
327,2023,(가칭)Operation ScamCamp,"컴퓨터사기, 인신매매, 연애 사기(로맨스 스캠), 피싱, 불법 체류, 강제 노동, 조직범죄","각국 경찰(특히 아시아 및 아프리카), 인터폴, 비정부기구(NGO), 인터넷 서비스 제공자(ISP)","필리핀, 캄보디아, 라오스, 미얀마, 싱가포르, 타이, 베트남, 케냐, 우간다, 나이지리아 등","아시아와 아프리카의 여러 국가에서 조직적 범죄 네트워크가 인신매매 피해자를 동원해 연애 사기, 피싱, 사이버사기 등 다양한 범죄를 저지르고 있으며, 각국 경찰과 인터폴, NGO 등이 협력해 관련 범죄 단속과 피해자 구제에 나서고 있다.",https://www.nytimes.com/2024/09/10/business/scammers-trafficking-cybercrime.html
339,2024,(가칭)Operation Warzone RAT,"불법 원격접속 트로이목마(RAT) 판매 및 유통, 불법 전자감청장치 판매, 컴퓨터 무단 침입 음모, 보호된 컴퓨터 권한 없이 손상, 사이버범죄 조직 가담","몰타 경찰, 몰타 검찰청, 미국 법무부(DOJ), 미국 연방수사국(FBI), 호주 연방경찰(AFP), 기타 국제 협력기관","몰타, 미국, 호주","몰타, 미국, 호주 법집행기관이 협력해 Warzone RAT 등 불법 원격접속 트로이목마를 판매·유통한 사이버범죄자 Daniel Meli를 체포하고, 범죄 네트워크 인프라를 해체하며, 전 세계적으로 컴퓨터 무단 침입 및 정보유출 범죄에 중대한 타격을 입혔다.",https://www.theguardian.com/australia-news/2024/feb/13/daniel-meli-arrest-malta-cybercrime-australia-trojan-software
341,2024,(가칭)Operation 911 S5,"신분도용, 아동 성착취, 금융사기, 불법 금융거래, 팬데믹 구제금융 사기, 컴퓨터 사기 및 사기 음모, 자금세탁 음모","미국 법무부(DOJ), 미국 연방수사국(FBI), 싱가포르 경찰, 태국 경찰, 기타 국제 법집행기관","미국, 싱가포르, 태국 등","미국, 싱가포르, 태국 등 국제 공조 하에 911 S5 봇넷 관리자 윤허 왕을 체포하고, 19백만 대 이상의 감염된 컴퓨터를 통해 신분도용, 아동 성착취, 금융사기 등 다양한 범죄에 활용된 세계 최대 규모의 봇넷 네트워크를 해체했다.",https://www.business-standard.com/world-news/man-suspected-of-operating-world-s-largest-ever-cybercrime-botnet-held-124053000064_1.html
353,2024,(가칭)Operation PopeyeTools,"신용카드 정보 절도, 신분도용, 불법 금융거래, 불법 접근장치 판매, 금융사기, 조직범죄, 랜섬웨어 등 사이버범죄","미국 법무부, 미국 연방수사국(FBI), 영국 경찰, 말레이시아 경찰, 국제 협력기관","미국, 영국, 말레이시아, 아프가니스탄, 파키스탄(용의자 국적 포함)","미국 법무부와 FBI가 영국, 말레이시아 등 국제 협력기관과 함께 PopeyeTools이라는 대형 사이버범죄 마켓플레이스를 적발해 도메인과 암호화폐를 압수하고, 파키스탄과 아프가니스탄 출신 운영자 3명을 기소하며, 신용카드 정보 절도 및 불법 금융거래 등 전 세계적으로 피해를 끼친 범죄 네트워크를 해체했다.",https://thecyberexpress.com/justice-department-shuts-popeyetools-website/
354,2024,(가칭)Operation Lusaka Scam,"컴퓨터 관련 허위표시, 신분도용, 불법 네트워크 운영, 인터넷 사기, 온라인 사기, 자금세탁, 조직범죄","잠비아 마약단속위원회(DEC), 잠비아 경찰, 이민국, 반테러리즘 부서","잠비아, 중국, 카메룬, 싱가포르, 페루, 아랍에미리트, 아프리카 다수국(피해자 및 용의자 국적 포함)","잠비아 마약단속위원회(DEC)와 경찰 등이 루사카의 Golden Top Support Services를 급습해 77명(중국인 22명 포함)을 체포하고, 1만 3천 장 이상의 SIM 카드와 무기, 장비를 압수하며, 전 세계 피해자를 노린 대규모 인터넷 사기 및 자금세탁 조직을 해체했다.",https://therecord.media/zambia-guilty-pleas-chinese-nationals-scam-call-center
358,2022,(가칭)Operation JP Morgan,"랜섬웨어, 악성 광고, 악성코드유포, 신분도용, 자금세탁","미국 법무부, 미국 비밀경호국(USSS), FBI, 영국 국가범죄수사국(NCA), 스페인 경찰","영국, 미국, 스페인","영국, 미국, 스페인 등 국제 공조로 “J.P. Morgan”으로 알려진 랜섬웨어 조직의 수장 막심 실니카우(Maksim Silnikau)와 동조자들을 체포·송환하여, 2011년부터 수천만 달러를 갈취한 대규모 랜섬웨어 및 악성코드 네트워크를 해체했다.",https://www.occrp.org/en/news/ransomware-kingpin-extradited-to-us-faces-decades-in-prison
359,2024,(가칭)Operation Belgium Phish,"피싱, 신분도용(경찰/은행 직원 사칭), 비싱(vishing), 온라인·오프라인 금융사기, 불법 금융거래, 조직범죄","벨기에 경찰, 네덜란드 경찰, 유로폴, 유로저스트","벨기에, 네덜란드, 유럽 10개국 이상(피해자 국적 포함)","벨기에와 네덜란드 경찰이 유로폴, 유로저스트와 협력해 2022년부터 활동한 국제 피싱 조직을 적발하여 2024년 12월 17곳을 압수수색하고 8명을 체포하며, 현금·명품·전자기기 등을 압수하고, 유럽 10개국 이상의 피해자로부터 수백만 유로를 갈취한 대규모 금융사기 네트워크를 해체했다168.",https://thehackernews.com/2024/12/phone-phishing-gang-busted-eight.html
368,2023,(가칭)Operation XHelper,"자금세탁, 컴퓨터사기, 신분도용, 불법 금융거래, 조직범죄, 악성앱(XHelper) 유포, 마구 계좌 운영, 피싱","CloudSEK(보안 연구기관), 각국 법집행기관(Europol 포함), 인도 은행, 인도 경찰, 글로벌 사이버보안 기업","인도, 중국, 전 세계(피해자 및 용의자 국적 다양)","CloudSEK과 Europol 등은 2023년 10월 말부터 인도 UPI 시스템을 악용해 XHelper 앱으로 수십만 마구 계좌를 조직적으로 관리하며 불법 자금을 세탁한 국제 범죄 네트워크를 적발했고, 글로벌 단속 과정에서 마구 계좌 소유자와 모집자 등 수천 명을 체포해 범죄 해체에 나섰다.",https://thehackernews.com/2024/03/how-cybercriminals-are-exploiting.html
369,2024,(가칭)Operation Telangana Scam,"컴퓨터사기, 비즈니스 사기, 아르바이트 사기, KYC 사기, 결혼 사기, 불법 금융거래, 암호화폐 자금 이체, 조직범죄","Telangana Cyber Security Bureau(TGCSB), 각 지역 경찰(하이데라바드, 사이버바드, 라차콘다, 카니마가르, 자크티알 등)","인도, 두바이","Telangana Cyber Security Bureau가 하이데라바드 등 텔랑가나 전역에서 비즈니스 사기, 아르바이트 사기, KYC 사기, 결혼 사기 등 다양한 사이버 범죄에 연루된 21명을 체포하고, 13명은 은행계좌에서 8억 2천만 루피를 인출해 상위 에이전트에 인도했으며, 나머지 8명은 암호화폐로 자금을 국제 조력자에게 송금한 혐의를 받으며, 대량의 증거물을 압수하고 범죄 네트워크 해체에 나섰다.",https://the420.in/telangana-cyber-security-bureau-cracks-down-on-cybercrime-arrests-21-cybercrime-criminals-in-major-operation/
371,2024,(가칭)Operation Naija CyberFront,"사이버범죄(신분도용, 온라인사기, 금융사기, 조직범죄 등)","Interpol(인터폴), Nigeria Police Force National Cybercrime Centre(NPF-NCCC), Office of the National Security Adviser(ONSA), National Identity Management Commission(NIMC), ECOWAS(서아프리카경제공동체), British National Crime Agency, UNODC(유엔마약범죄사무소), 각국 법집행기관, 민간기업, 시민사회단체","나이지리아, 영국, 프랑스, 아프리카 각국, 전 세계(Interpol 회원국 196개국 및 파트너 13개기관 포함)","Interpol과 Nigeria Police Force National Cybercrime Centre 등은 아프리카 내 사이버범죄 대응을 위해 국가 및 국제 기관, 민간과 협력해 정보 공유, 역량 강화, 공동 작전을 펼치며, 나이지리아가 아프리카 사이버범죄 퇴치의 선도국으로 자리매김하고 있음을 밝혔다.",https://www.arise.tv/interpol-nigeria-setting-pace-in-fight-against-cybercrime-in-africa/#google_vignette
376,2024,(가칭)Operation Grandparent Scam,"컴퓨터사기(할머니 사기, “grandparent scam”), 신분도용, 불법 금융거래, 조직범죄, 사기, 자금세탁","Santiago 검찰청(Santiago Prosecutor’s Office), 미국 연방수사국(HSI), 미국 법무부(DOJ), 뉴욕시경찰(NYPD), FBI, 사회보장국 감사관실(SSA-OIG)","도미니카공화국, 미국","Santiago 검찰청과 미국 연방수사국(HSI), FBI 등이 협력해 도미니카공화국 내 콜센터를 통해 미국 노년층을 표적으로 한 할머니 사기(“grandparent scam”) 등 대규모 사이버사기 조직을 적발해 21명을 기소하고, 수백만 달러의 피해를 입힌 범죄 네트워크를 해체하는 데 나섰다.",https://dominicantoday.com/dr/local/2024/09/25/santiago-prosecutors-office-charges-21-in-major-cybercrime-operation-targeting-elderly-americans/
380,2024,(가칭)Operation Kandy Sweep,"온라인 금융사기, 신분도용, 불법 금융거래, 조직범죄, 여권 및 비자 위조, 관광비자 남용","스리랑카 경찰, Criminal Investigations Department(CID), 이민국, 각 지역 경찰서, 중국 대사","스리랑카, 중국, 인도, 태국, 베트남, 필리핀(피해자 및 용의자 국적 포함), 전 세계(피해자 국적 다양)","스리랑카 경찰이 2024년 10월부터 칸디(Kandy) 등 주요 도시에서 관광비자를 남용한 중국인 등 외국인을 중심으로 온라인 금융사기, 신분도용, 불법 금융거래 등 조직적 범죄 네트워크를 적발해 수백 명을 체포하고, 중국 대사관과 협력해 주요 용의자 및 증거물을 송환·이관하며 국제 사이버범죄의 첨병으로 떠오르는 현상을 효과적으로 대응하고 있다.",https://lankasara.com/news/the-growing-menace-of-chinese-cyber-criminals-in-sri-lanka-behind-the-kandy-arrest/
383,2024,(가칭)Operation Nemesis Market,"마약류 밀매, 불법 데이터 거래, 랜섬웨어, 피싱, DDoS공격, 신분도용, 조직범죄","독일 연방범죄청(BKA), 프랑크푸르트 사이버범죄특별수사팀(ZIT), 미국 연방수사국(FBI), 미국 마약단속국(DEA), 미국 국세청 범죄수사국(IRS-CI), 리투아니아 법집행기관","독일, 리투아니아, 미국","독일, 리투아니아, 미국 법집행기관이 2022년 10월부터 2024년 3월까지 공동으로 Nemesis 마켓을 조사해 2024년 3월 20일 서버를 압수하고, 마약, 불법 데이터, 랜섬웨어 등 다양한 사이버범죄 서비스가 거래된 대형 다크넷 마켓플레이스를 해체하며 약 10만 달러 상당의 암호화폐를 압수했다.",https://therecord.media/nemesis-cybercrime-market-takedown-germany
384,2024,(가칭)Operation Quezon FakeGov,"컴퓨터사기, 신분도용(미 정부 기관 사칭), 불법 금융거래, 조직범죄","필리핀 이민국(Fugitive Search Unit), 미국 법무부(US Department of Justice), 미국 국방부 범죄수사국(US Defense Criminal Investigative Service)","필리핀, 미국, 나이지리아(용의자 국적 포함)","필리핀 이민국이 미국 정부 요청에 따라 2024년 10월 11일 케손시티에서 미국 내 은퇴 군인을 대상으로 코로나19 대응 가짜 정부 웹사이트를 이용해 긴급 휴가 신청 수수료 명목으로 자금을 갈취한 혐의로 미국에서 수배 중이던 나이지리아인 사이버사기 용의자를 체포해, 현재 송환 절차를 진행 중이다.",https://dailypost.ng/2024/10/29/nigerian-national-wanted-in-us-cybercrime-case-arrested-in-philippines/
389,2025,(가칭)Operation Karen Weblords,"온라인 사기, 피그부처링(“돼지 도살”) 로맨스 사기, 암호화폐 투자 사기, 자금세탁, 인신매매, 강제 노동, 불법 자금 이체, 신분 도용, 데이터 침해","미국 재무부, 미국 법무부, 국제법집행기관, 미얀마 카렌 민병대(범죄조직)","미국, 미얀마, 태국","미국 재무부가 미얀마 카렌 지역의 군벌 가문(소 치트 투, 소 투 에 무, 소 치트 치)을 제재하며, 이들이 운영하는 일련의 비공식 콜센터를 통해 로맨스 사기, 암호화폐 투자 사기, 자금세탁, 인신매매 등 다양한 사이버범죄를 저지른 사실을 밝히고, 최근 3년간 미국 내 피해액만 20억~35억 달러에 달한다고 보고하였다.",https://www.scworld.com/news/massive-cybercrime-operation-traced-back-to-myanmar-warlord
394,2025,(가칭)Operation Qakbot,"악성코드(Qakbot) 유포, 랜섬웨어 공격, 사기, 불법 자금 이체, 신분 도용, 데이터 침해, 스팸 폭탄 공격","미국 법무부(DOJ), FBI, 유럽법집행기관","미국, 러시아(범죄자 소재지), 유럽연합(EU)","미국 법무부가 러시아 거주 남성(Qakbot 악성코드 개발자)을 기소하며, 해당 악성코드로 미국 및 전 세계 수십만 대의 컴퓨터를 감염시키고, 의료기관·정부기관을 대상으로 랜섬웨어 공격을 자행해 수억 달러의 피해를 입혔으며, 2,400만 달러 이상의 암호화폐를 환수해 피해자에게 돌려주고 있다.",https://www.aa.com.tr/en/americas/us-charges-russian-man-allegedly-behind-global-cybercrime-network/3577168
396,2025,(가칭)Operation Mekong ScamGrid,"대규모 온라인 사기, 인신매매(강제 범죄 참여), 자금세탁, 데이터 브로커링, 불법 마켓플레이스 운영, 불법 자금 이체, 신분 도용","유엔마약범죄사무소(UNODC), 각국 법집행기관, 현지 경찰, 국제인권단체","캄보디아, 라오스, 미얀마, 필리핀, 말레이시아, 태국(및 피해자 원산지 다수 국가)","유엔마약범죄사무소(UNODC)와 각국 법집행기관이 동남아시아의 대규모 사이버범죄 네트워크를 조사하여, 수만 명의 인신매매 피해자와 연계된 산업적 규모의 온라인 사기 및 자금세탁, 불법 마켓플레이스 운영이 글로벌 위협으로 확산되고 있음을 밝혔다.",https://www.occrp.org/en/news/un-transnational-cybercrime-in-southeast-asia-hits-record-high
400,2025,(가칭)Operation Grey Nickel,"AI 기반 신분 사기, 딥페이크(Deepfake) 및 페이스 스왑, 신분 도용, 데이터 침해, 불법 자금 이체, 원격 인증 시스템 우회","iProov Security Operations Center(ISOC), 금융기관 보안팀, 각국 사이버보안기관","홍콩, 아시아 태평양 국가, 북미, 유럽(EMEA)","iProov이 주도한 조사에서 위협행위자 ‘Grey Nickel’이 AI 기반 딥페이크와 페이스 스왑 등 첨단 기술을 활용해 금융기관 원격 인증 시스템을 우회하는 대규모 신분 사기 및 사기 범죄를 저지른 사실을 밝혀내고, 이로 인해 홍콩에서 2,560만 달러 규모의 피해가 발생하는 등 글로벌 금융 시스템에 심각한 위협이 되고 있음을 확인하였다.",https://www.scworld.com/brief/iproov-uncovers-ai-driven-cybercrime-operation
408,2023,(가칭)Operation EuroPak Fraud,"온라인 사기, 신분 도용, 불법 자금 이체, 신용카드 사기, 데이터 침해","네덜란드 법무부(DOJ), 네덜란드 경찰, 파키스탄 경찰, 현지 금융기관","네덜란드, 파키스탄","네덜란드 법무부와 경찰이 파키스탄 경찰과 협력해 온라인 사기, 신분 도용, 신용카드 사기 등 다양한 사이버범죄를 저지른 용의자를 체포하고, 현지 금융기관의 지원을 받아 범죄 네트워크를 해체하였다.",https://therecord.media/pakistan-cybercrime-busted-dutch-doj
411,2023,(가칭)Operation SA-ID Theft,"해킹, 신분 도용, 온라인 사기, 불법 자금 이체, 신용카드 사기, 데이터 침해","INTERPOL, 남아프리카공화국 경찰, 남아프리카공화국 금융 정보 분석 센터(Financial Intelligence Centre, FIC), 현지 은행, 현지 사이버범죄 수사팀INTERPOL, 남아프리카공화국 경찰, 남아프리카공화국 금융 정보 분석 센터(Financial Intelligence Centre, FIC), 현지 은행, 현지 사이버범죄 수사팀",남아프리카공화국남아프리카공화국,"INTERPOL과 남아프리카공화국 경찰이 협력해 신분 도용 및 온라인 사기, 불법 자금 이체 등 다양한 사이버범죄를 저지른 조직을 단속하여, 현지 은행과 금융정보센터의 지원을 받아 범죄 네트워크를 해체하고 용의자를 체포하였다.",https://techpoint.africa/news/interpol-busts-cybercrime-in-south-africa/
421,2025,(가칭)Operation HackMarkets,"해킹 도구 유포, 불법 소프트웨어 크랙, 도난 데이터 유포, 신분도용, 사이버범죄","FBI, Europol, Australian Federal Police, German Federal Criminal Police Office, 기타 국제 법집행기관","미국, 유럽연합(특히 독일, 프랑스, 이탈리아, 스페인, 그리스 등), 호주, 루마니아","FBI와 유럽, 호주 등 국제 법집행기관이 협력하여 Cracked, Nulled, StarkRDP, Sellix, MySellix 등 해킹·불법 소프트웨어 유통 웹사이트의 도메인을 압수하고, 해킹 도구 및 도난 데이터 유포 등 사이버범죄 생태계를 무력화하였다.",https://www.reuters.com/technology/cybersecurity/international-law-enforcement-operation-targets-group-cybercrime-websites-2025-01-29/
422,2025,(가칭)Operation Lumma Cut,"정보유출 악성코드(Lumma Stealer) 유포, 피싱, 온라인 사기, 금융사기, 신분도용, 랜섬웨어","Microsoft, 미국 법무부(Department of Justice), FBI, Europol, 일본 사이버범죄 통제센터, Lumen, Cloudflare, Bitsight","미국, 유럽연합(특히 독일, 프랑스 등), 일본","Microsoft, 미국 법무부, FBI, Europol, 일본 사이버범죄 통제센터 등 국제 기관이 협력하여 Lumma Stealer 정보유출 악성코드 인프라(2,300개 이상 도메인)를 압수·차단하고, 글로벌 사이버범죄 생태계를 무력화하였다.",https://techxplore.com/news/2025-05-global-malware-federal-court-georgia.html
464,2025,(가칭)Operation Phobos Lock,"사이버범죄(랜섬웨어 공격, 데이터 절도, 금전 갈취, 위조, 컴퓨터 무단 접근 및 손상, 신분 사칭 등)","미국 법무부(Department of Justice), FBI, 유럽 및 독일 법집행기관","미국, 독일, 유럽연합(영국, 호주 등은 제재에만 참여)","미국 법무부가 로만 베레즈노이(33세), 예고르 글레보프(39세) 등 러시아 국적자 2명을 체포 및 기소하며, 이들은 Phobos 랜섬웨어를 이용해 미국 내 수백 개 기관(아동병원, 의료기관, 교육기관 등)을 공격해 데이터를 암호화하고 금전을 갈취했으며, 다크웹 사이트를 통해 절도 데이터를 공개하며 피해자에게 추가 협박을 가했고, 미국·유럽 법집행기관이 100대 이상의 서버를 차단하는 등 범죄 네트워크를 해체했다",https://www.cbsnews.com/news/justice-department-charges-russian-men-cybercrime-ransomware/
470,2025,(가칭)Operation FourSeas,"컴퓨터 관련 위조(Republic Act 10175), 경제 사보타주, 소셜 엔지니어링(Republic Act 12010), 조직범죄","National Bureau of Investigation (NBI) Special Task Force/Cybercrime Division, NBI Central Visayas Regional Office, Taiwan Police Attaché","필리핀, 대만","NBI와 대만 경찰이 2025년 5월 14~15일 세부시티 고급 주택가에서 17명의 대만 국적자(여성 1명 포함, 6명은 대만 내 수배자)를 체포하며, 컴퓨터 및 각종 장비를 이용한 대규모 로맨스 스캠 및 금융사기 조직(포시즈 갱)을 해체하고, 피해자에게 5억 달러 이상의 피해를 입혔으며, 체포된 용의자는 필리핀 내 POGO 허브와 연계된 혐의도 받고 있다",https://www.gmanetwork.com/regionaltv/news/108133/17-taiwanese-in-cebu-city-fall-in-nbi-cybercrime-operation/story/
477,2024,(가칭)Operation Jackpot Crew,"은행 절도, 음모, ATM 해킹(ATM 논리적 공격, ATM 잭포팅), 조직범죄(트렌 데 아라구아 조직 연계)","FBI Cyber Task Force, Western District of New York, 각주 및 지역 경찰(뉴욕, 매사추세츠, 일리노이 등), 미국 법무부","미국, 베네수엘라","FBI와 미국 각지 경찰이 2024년 10월 5일부터 11월 11일까지 베네수엘라 국적의 트렌 데 아라구아 조직 소속 2명을 체포하며, 뉴욕·매사추세츠·일리노이 등 4개 주 신용협동조합과 은행 ATM을 대상으로 악성코드(ATM 잭포팅)를 이용해 297,000달러 이상을 절도한 대규모 범죄 네트워크를 적발하고, 압수된 현금, 암호화폐, 변조된 ATM 부품 등 다수의 증거를 확보했다.",https://gbhackers.com/two-cybercriminals-arrested/
537,2024,(가칭)Operation Naija-Japan Scam,"사이버범죄(사기, 사기성 연애 사기)","Nigeria Police Force, National Cybercrime Centre, National Central Bureau (Nigeria), NCB Tokyo, National Police Agency of Japan","나이지리아, 일본","나이지리아와 일본 경찰이 공동으로 나이지리아에서 일본인을 노린 사이버범죄 용의자 11명을 체포하고, 사기로 획득한 33,320달러를 회수했다",https://www.thecable.ng/npf-eleven-cybercrime-suspects-arrested-33320-recovered-in-joint-operation-with-japanese-police/
555,2025,(가칭)Operation Kanlaon Tower,"온라인 사기, 불법 온라인 도박(가상 사기 및 불법 게임 운영)","National Central Bureau (NCB) Interpol Indonesia, Philippine National Police(PNP), Philippine security authorities, Polri(인도네시아 국가경찰)","인도네시아, 필리핀","인도네시아와 필리핀 경찰이 협력하여 마닐라 메트로 지역 Pasay City의 Kanlaon Tower에서 운영되던 온라인 사기 및 불법 도박 조직을 적발하고, 29명의 인도네시아 국적 용의자를 필리핀에서 체포한 뒤 인도네시아로 송환 및 추가 조사를 진행함",https://usa.inquirer.net/172272/indonesia-extradites-29-cybercrime-suspects
